Entity1_id,Entity1_name,Entity1_type,Entity2_id,Entity2_name,Entity2_type,Evidence,Association,PD,PMIDs,Combination,MultilinkAnnotation,ClinicalAnnotation,Literature,VariantAnnotation,VipGene,Evidence score
PA31744,NQO1,Gene,PA445062,Neoplasms,Disease,ClinicalAnnotation,associated,1,21479364;24533712;25545243,Gene - Disease,0.0,1.0000000000000002,0.0,0.5000000000000001,0.0,2
PA31744,NQO1,Gene,PA445113,Neutropenia,Disease,VariantAnnotation,not associated,0,27168101,Gene - Disease,0.0,0.0,0.0,1.0000000000000002,0.0,1
PA31744,NQO1,Gene,PA445204,Ovarian Neoplasms,Disease,VariantAnnotation,not associated,0,24533712,Gene - Disease,0.0,0.0,0.0,1.0000000000000002,0.0,1
PA31744,NQO1,Gene,PA445742,Stomach Neoplasms,Disease,"ClinicalAnnotation,VariantAnnotation",ambiguous,1,25545243,Gene - Disease,0.0,1.0000000000000002,0.0,1.0000000000000002,0.0,3
PA31744,NQO1,Gene,PA445850,Thrombosis,Disease,"ClinicalAnnotation,VariantAnnotation",associated,1,28210634,Gene - Disease,0.0,1.0000000000000002,0.0,1.0000000000000002,0.0,3
PA31744,NQO1,Gene,PA446155,Precursor Cell Lymphoblastic Leukemia-Lymphoma,Disease,VariantAnnotation,not associated,0,26644204,Gene - Disease,0.0,0.5000000000000001,0.0,1.0000000000000002,0.0,1
PA297,REN,Gene,PA443886,Diabetes Mellitus,Disease,"ClinicalAnnotation,VariantAnnotation",associated,1,18794727,Gene - Disease,0.0,0.5000000000000001,0.0,1.0000000000000002,0.0,3
PA297,REN,Gene,PA443994,Edema,Disease,"ClinicalAnnotation,VariantAnnotation",associated,1,18794727,Gene - Disease,0.0,1.0000000000000002,0.0,0.5000000000000001,0.0,3
PA297,REN,Gene,PA444528,Hyperlipidemias,Disease,ClinicalAnnotation,associated,1,18794727,Gene - Disease,0.0,1.0000000000000002,0.0,0.5000000000000001,0.0,2
PA297,REN,Gene,PA447288,Essential hypertension,Disease,VariantAnnotation,associated,0,21261619,Gene - Disease,0.0,0.0,0.0,1.0000000000000002,0.0,1
PA443334,"Pain Insensitivity, Congenital",Disease,PA35010,SCN9A,Gene,VariantAnnotation,associated,0,21939494,Gene - Disease,0.0,0.0,0.0,1.0000000000000002,0.0,1
PA445553,Rheumatic Heart Disease,Disease,PA126,CYP2C9,Gene,VariantAnnotation,associated,0,27335128,Gene - Disease,0.0,0.0,0.0,1.0000000000000002,0.0,1
PA445553,Rheumatic Heart Disease,Disease,PA133787052,VKORC1,Gene,VariantAnnotation,associated,0,27335128,Gene - Disease,0.0,0.0,0.0,1.0000000000000002,0.0,1
PA134890284,INSIG2,Gene,PA128406954,Weight gain,Disease,VariantAnnotation,ambiguous,0,20504252;27217270,Gene - Disease,0.0,0.0,0.0,1.0000000000000002,0.0,1
PA134890284,INSIG2,Gene,PA162370415,Metabolic Syndrome,Disease,VariantAnnotation,associated,0,20877301,Gene - Disease,0.0,0.0,0.0,1.0000000000000002,0.0,1
PA134890284,INSIG2,Gene,PA166123368,schizoaffective disorder,Disease,VariantAnnotation,not associated,0,20504252,Gene - Disease,0.0,0.5000000000000001,0.0,1.0000000000000002,0.0,1
PA134890284,INSIG2,Gene,PA447216,Schizophrenia,Disease,"ClinicalAnnotation,VariantAnnotation",ambiguous,1,18195716;20373477;20504252;20877301,Gene - Disease,0.0,0.5000000000000001,0.0,1.0000000000000002,0.0,3
PA98,CDA,Gene,PA166114377,hand-foot syndrome,Disease,"ClinicalAnnotation,VariantAnnotation",associated,1,18473752;21325291;28139840;28347776;36630849,Gene - Disease,0.0,0.5000000000000001,0.0,1.0000000000000002,0.0,3
PA98,CDA,Gene,PA166123026,progression-free survival,Disease,VariantAnnotation,associated,0,26556583,Gene - Disease,0.0,0.5000000000000001,0.0,1.0000000000000002,0.0,1
PA98,CDA,Gene,PA166123207,overall survival,Disease,VariantAnnotation,not associated,0,18537153,Gene - Disease,0.0,0.0,0.0,1.0000000000000002,0.0,1
PA98,CDA,Gene,PA443560,Breast Neoplasms,Disease,VariantAnnotation,not associated,0,23588952;24361227,Gene - Disease,0.0,0.0,0.0,1.0000000000000002,0.0,1
PA98,CDA,Gene,PA443580,Burkitt Lymphoma,Disease,VariantAnnotation,associated,0,25003625,Gene - Disease,0.0,0.5000000000000001,0.0,1.0000000000000002,0.0,1
PA98,CDA,Gene,PA443622,"Carcinoma, Non-Small-Cell Lung",Disease,"ClinicalAnnotation,VariantAnnotation",ambiguous,1,18347182;18538445;18600531;20665488;21590444;21625252;22546611;30889042,Gene - Disease,0.0,0.5000000000000001,0.0,1.0000000000000002,0.0,3
PA98,CDA,Gene,PA443749,Colitis,Disease,VariantAnnotation,associated,0,36316809,Gene - Disease,0.0,0.0,0.0,1.0000000000000002,0.0,1
PA98,CDA,Gene,PA443842,Death,Disease,VariantAnnotation,associated,0,19458626,Gene - Disease,0.0,0.0,0.0,1.0000000000000002,0.0,1
PA98,CDA,Gene,PA443850,Dehydration,Disease,VariantAnnotation,associated,0,23736036,Gene - Disease,0.0,0.0,0.0,1.0000000000000002,0.0,1
PA98,CDA,Gene,PA443899,Diarrhea,Disease,VariantAnnotation,associated,0,23736036;28139840,Gene - Disease,0.0,0.0,0.0,1.0000000000000002,0.0,1
PA98,CDA,Gene,PA443937,Drug Toxicity,Disease,VariantAnnotation,ambiguous,0,15814642;21521023;21625252;22379997;23736036;24167597;25850965;26556583;27995989;28347776,Gene - Disease,0.0,0.5000000000000001,0.0,1.0000000000000002,0.0,1
PA98,CDA,Gene,PA444511,Hyperbilirubinemia,Disease,"ClinicalAnnotation,VariantAnnotation",associated,1,28347776,Gene - Disease,0.0,0.5000000000000001,0.0,1.0000000000000002,0.0,3
PA98,CDA,Gene,PA444750,Leukemia,Disease,"ClinicalAnnotation,VariantAnnotation",associated,1,19458626;21325291;21521023;22304580;22379997;23651026;25003625;26556583,Gene - Disease,0.0,1.0000000000000002,0.0,1.0000000000000002,0.0,3
PA98,CDA,Gene,PA444760,"Leukemia, Myeloid, Acute",Disease,"ClinicalAnnotation,VariantAnnotation",associated,1,19458626;21325291;21521023;22304580;23651026;30088438;36316809,Gene - Disease,0.0,1.0000000000000002,0.0,1.0000000000000002,0.0,3
PA98,CDA,Gene,PA444761,"Leukemia, Myeloid",Disease,"ClinicalAnnotation,VariantAnnotation",associated,1,19458626;21325291;21521023;22304580;23651026,Gene - Disease,0.0,1.0000000000000002,0.0,0.5000000000000001,0.0,3
PA98,CDA,Gene,PA444840,Lymphoma,Disease,ClinicalAnnotation,associated,1,19458626;21325291;21521023;22304580;22379997;23651026;25003625,Gene - Disease,0.0,1.0000000000000002,0.0,0.5000000000000001,0.0,2
PA98,CDA,Gene,PA444937,Mesothelioma,Disease,"ClinicalAnnotation,VariantAnnotation",associated,1,18347182;18538445;20665488;21625252;22134350;22546611;30889042,Gene - Disease,0.0,1.0000000000000002,0.0,1.0000000000000002,0.0,3
PA98,CDA,Gene,PA445048,Nausea,Disease,"ClinicalAnnotation,VariantAnnotation",associated,1,22134350;33462346,Gene - Disease,0.0,1.0000000000000002,0.0,1.0000000000000002,0.0,3
PA98,CDA,Gene,PA445062,Neoplasms,Disease,"ClinicalAnnotation,VariantAnnotation",ambiguous,1,15814642;17194903;17885621;18473752;21325291;21521023;22304580;22546611;22838949;23651026;23736036;24167597;24300978;24361227;28139840;28347776;36630849,Gene - Disease,0.0,1.0000000000000002,0.0,1.0000000000000002,0.0,3
PA98,CDA,Gene,PA445113,Neutropenia,Disease,"ClinicalAnnotation,VariantAnnotation",associated,1,15814642;17194903;24361227;30889042,Gene - Disease,0.0,1.0000000000000002,0.0,1.0000000000000002,0.0,3
PA98,CDA,Gene,PA445218,Pancreatic Neoplasms,Disease,"ClinicalAnnotation,VariantAnnotation",ambiguous,1,15814642;18347182;18538445;20665488;21625252;22026922;22546611;30889042;33462346,Gene - Disease,0.0,0.5000000000000001,0.0,1.0000000000000002,0.0,3
PA98,CDA,Gene,PA445742,Stomach Neoplasms,Disease,VariantAnnotation,not associated,0,18537153;27995989,Gene - Disease,0.0,0.5000000000000001,0.0,1.0000000000000002,0.0,1
PA98,CDA,Gene,PA446108,Colorectal Neoplasms,Disease,VariantAnnotation,ambiguous,0,24167597;28347776,Gene - Disease,0.0,0.0,0.0,1.0000000000000002,0.0,1
PA98,CDA,Gene,PA446309,"Lymphoma, T-Cell",Disease,VariantAnnotation,associated,0,22379997,Gene - Disease,0.0,0.0,0.0,1.0000000000000002,0.0,1
PA26052,CAMKK2,Gene,PA444818,Lung Neoplasms,Disease,VariantAnnotation,associated,0,36606188,Gene - Disease,0.0,0.5000000000000001,0.0,1.0000000000000002,0.0,1
PA26873,CRHBP,Gene,PA443309,Alcoholism,Disease,"ClinicalAnnotation,VariantAnnotation",ambiguous,1,21039637,Gene - Disease,0.0,0.5000000000000001,0.0,1.0000000000000002,0.0,3
PA26873,CRHBP,Gene,PA444460,Heroin Dependence,Disease,VariantAnnotation,associated,0,29465008,Gene - Disease,0.0,0.0,0.0,1.0000000000000002,0.0,1
PA26873,CRHBP,Gene,PA445506,Recurrence,Disease,VariantAnnotation,associated,0,29465008,Gene - Disease,0.0,0.0,0.0,1.0000000000000002,0.0,1
PA26971,CSRP3,Gene,PA443434,"Arthritis, Rheumatoid",Disease,"ClinicalAnnotation,VariantAnnotation",associated,1,18615156,Gene - Disease,0.0,1.0000000000000002,0.0,1.0000000000000002,0.0,3
PA26503,CHST3,Gene,PA445425,Prostatic Neoplasms,Disease,"ClinicalAnnotation,VariantAnnotation",associated,1,20038957,Gene - Disease,0.0,1.0000000000000002,0.0,1.0000000000000002,0.0,3
PA444910,Memory Disorders,Disease,PA136,DBH,Gene,"ClinicalAnnotation,VariantAnnotation",ambiguous,1,32736537,Gene - Disease,0.0,0.5000000000000001,0.0,1.0000000000000002,0.0,3
PA444910,Memory Disorders,Disease,PA139,ACE,Gene,VariantAnnotation,not associated,0,28605058,Gene - Disease,0.0,0.5000000000000001,0.0,1.0000000000000002,0.0,1
PA444910,Memory Disorders,Disease,PA140,DDC,Gene,VariantAnnotation,not associated,0,32736537,Gene - Disease,0.0,0.0,0.0,1.0000000000000002,0.0,1
PA444910,Memory Disorders,Disease,PA28992,GRM3,Gene,VariantAnnotation,associated,0,25096017,Gene - Disease,0.0,0.0,0.0,1.0000000000000002,0.0,1
PA444910,Memory Disorders,Disease,PA311,SLC6A3,Gene,VariantAnnotation,not associated,0,32736537,Gene - Disease,0.0,0.0,0.0,1.0000000000000002,0.0,1
PA444910,Memory Disorders,Disease,PA351,TH,Gene,VariantAnnotation,not associated,0,32736537,Gene - Disease,0.0,0.0,0.0,1.0000000000000002,0.0,1
PA444910,Memory Disorders,Disease,PA42,AGT,Gene,VariantAnnotation,not associated,0,28605058,Gene - Disease,0.0,0.0,0.0,1.0000000000000002,0.0,1
PA444910,Memory Disorders,Disease,PA55,APOE,Gene,VariantAnnotation,not associated,0,28605058,Gene - Disease,0.0,0.0,0.0,1.0000000000000002,0.0,1
PA113,CHRNA3,Gene,PA153619833,Peripheral Vascular Diseases,Disease,VariantAnnotation,associated,0,18385739,Gene - Disease,0.0,0.5000000000000001,0.0,0.5000000000000001,0.0,1
PA113,CHRNA3,Gene,PA166048714,Pregnancy,Disease,ClinicalAnnotation,associated,0,19429911,Gene - Disease,0.0,0.5000000000000001,0.0,0.5000000000000001,0.0,1
PA113,CHRNA3,Gene,PA166123046,cessation,Disease,VariantAnnotation,ambiguous,0,25950378;31402126;31796940,Gene - Disease,0.0,0.5000000000000001,0.0,1.0000000000000002,0.0,1
PA113,CHRNA3,Gene,PA443309,Alcoholism,Disease,"ClinicalAnnotation,VariantAnnotation",ambiguous,0,19132693;20485328,Gene - Disease,0.0,0.5000000000000001,0.0,1.0000000000000002,0.0,2
PA113,CHRNA3,Gene,PA443622,"Carcinoma, Non-Small-Cell Lung",Disease,VariantAnnotation,associated,0,34522797,Gene - Disease,0.0,0.0,0.0,1.0000000000000002,0.0,1
PA113,CHRNA3,Gene,PA444818,Lung Neoplasms,Disease,VariantAnnotation,ambiguous,0,18385676;18385739;31402126,Gene - Disease,0.0,0.0,0.0,1.0000000000000002,0.0,1
PA113,CHRNA3,Gene,PA445208,Pain,Disease,"ClinicalAnnotation,VariantAnnotation",associated,1,20725741,Gene - Disease,0.0,1.0000000000000002,0.0,1.0000000000000002,0.0,3
PA113,CHRNA3,Gene,PA445876,Tobacco Use Disorder,Disease,"ClinicalAnnotation,VariantAnnotation",ambiguous,1,18385739;18618000;19132693;19628476;19706762;20886544;22046326;22648373;23249876;23692359;24535486;25891233;25950378;26010901;26142345;26833182;29196725;29621993;29666375;30453884;31402126;31796940;34522797,Gene - Disease,0.0,1.0000000000000002,0.0,1.0000000000000002,0.0,3
PA113,CHRNA3,Gene,PA446876,Substance-Related Disorders,Disease,VariantAnnotation,associated,0,20725741,Gene - Disease,0.0,0.5000000000000001,0.0,0.5000000000000001,0.0,1
PA113,CHRNA3,Gene,PA446878,Cocaine-Related Disorders,Disease,ClinicalAnnotation,associated,1,32152934,Gene - Disease,0.0,0.5000000000000001,0.0,0.5000000000000001,0.0,2
PA443421,"Arrhythmias, Cardiac",Disease,PA116,ABCC2,Gene,ClinicalAnnotation,associated,1,16330681,Gene - Disease,0.0,1.0000000000000002,0.0,0.5000000000000001,0.0,2
PA443421,"Arrhythmias, Cardiac",Disease,PA128,CYP2D6,Gene,"ClinicalAnnotation,VariantAnnotation",associated,1,12421483;14653957;16508157;16944116;22718623;22941032;26195225;33203295,Gene - Disease,0.0,1.0000000000000002,0.0,0.5000000000000001,0.0,3
PA443421,"Arrhythmias, Cardiac",Disease,PA244,ABCC1,Gene,ClinicalAnnotation,associated,1,16330681,Gene - Disease,0.0,1.0000000000000002,0.0,0.5000000000000001,0.0,2
PA443421,"Arrhythmias, Cardiac",Disease,PA267,ABCB1,Gene,"ClinicalAnnotation,VariantAnnotation",associated,1,33378980,Gene - Disease,0.0,1.0000000000000002,0.0,0.5000000000000001,0.0,3
PA443421,"Arrhythmias, Cardiac",Disease,PA304,SCN5A,Gene,VariantAnnotation,associated,0,12193783,Gene - Disease,0.0,0.0,0.0,1.0000000000000002,0.0,1
PA133787052,VKORC1,Gene,PA153619833,Peripheral Vascular Diseases,Disease,VariantAnnotation,associated,0,27938396,Gene - Disease,0.0,0.0,0.0,1.0000000000000002,0.0,1
PA133787052,VKORC1,Gene,PA166123298,over-anticoagulation,Disease,"ClinicalAnnotation,VariantAnnotation",ambiguous,1,17329985;17989110;18466099;18574025;18690342;18781852;19074728;19225451;19297219;19794411;19874474;20354686;21057703;21318593;22075505;22252093;22571356;22990331;23016521;23104259;23279643;23423913;23602689;23932037;24911077;24919870;24956252;25244877;25246753;25769357;26445138;26739746;28033245;28049362,Gene - Disease,0.0,0.5000000000000001,0.0,1.0000000000000002,0.0,3
PA133787052,VKORC1,Gene,PA166123431,heart valve replacement,Disease,VariantAnnotation,ambiguous,0,25126975;25594941;26223945;27938396;28079798;28429387;28550460;31186542;35608144,Gene - Disease,0.0,0.5000000000000001,0.0,1.0000000000000002,0.0,1
PA133787052,VKORC1,Gene,PA166129530,time to achieve stable dose,Disease,VariantAnnotation,ambiguous,0,16815313;17329985;18466099;18690342;19077919;21057703;23279643;24956252;25504915,Gene - Disease,0.0,0.5000000000000001,0.0,1.0000000000000002,0.0,1
PA133787052,VKORC1,Gene,PA166129531,time in therapeutic range,Disease,"ClinicalAnnotation,VariantAnnotation",ambiguous,1,18322281;18574025;18690342;19297219;22130800;22592842;25001883;27511999;29396738;31720756,Gene - Disease,0.0,0.5000000000000001,0.0,1.0000000000000002,0.0,3
PA133787052,VKORC1,Gene,PA166129532,time to therapeutic inr,Disease,"ClinicalAnnotation,VariantAnnotation",ambiguous,1,18322281;18466099;18574025;19074728;19297219;19794411;20339978;20386359;20833980;21318593;22571356;23279643;24474498;28382498;29396738;29432897;31444512,Gene - Disease,0.0,1.0000000000000002,0.0,1.0000000000000002,0.0,3
PA133787052,VKORC1,Gene,PA166129534,time above therapeutic range,Disease,"ClinicalAnnotation,VariantAnnotation",associated,1,21057703;23016521;23423913;24919870;28689179,Gene - Disease,0.0,1.0000000000000002,0.0,1.0000000000000002,0.0,3
PA133787052,VKORC1,Gene,PA166151827,adverse events,Disease,VariantAnnotation,associated,0,19319511;35608144,Gene - Disease,0.0,0.0,0.0,1.0000000000000002,0.0,1
PA133787052,VKORC1,Gene,PA166160459,international normalized ratio variability (inr-var),Disease,VariantAnnotation,not associated,0,28382498,Gene - Disease,0.0,0.0,0.0,1.0000000000000002,0.0,1
PA133787052,VKORC1,Gene,PA166186062,mechanical heart valve replacement,Disease,VariantAnnotation,associated,0,35880564,Gene - Disease,0.0,0.0,0.0,1.0000000000000002,0.0,1
PA133787052,VKORC1,Gene,PA443309,Alcoholism,Disease,VariantAnnotation,associated,0,25858232,Gene - Disease,0.0,0.0,0.0,1.0000000000000002,0.0,1
PA133787052,VKORC1,Gene,PA443459,Atrial Fibrillation,Disease,"MultilinkAnnotation,VariantAnnotation,VipGene",ambiguous,0,21981797;22040439;22534826;23113310;24108193;24251363;25089947;25769357;27938396;28033245;28550460;29273767;29396738;29479633;29986700;31854268;32559398,Gene - Disease,0.5000000000000001,0.0,0.0,1.0000000000000002,0.5000000000000001,3
PA133787052,VKORC1,Gene,PA443460,Atrial Flutter,Disease,VariantAnnotation,associated,0,29479633,Gene - Disease,0.5000000000000001,0.0,0.0,1.0000000000000002,0.5000000000000001,1
PA133787052,VKORC1,Gene,PA443523,Blood Coagulation Disorders,Disease,VariantAnnotation,associated,0,28049362,Gene - Disease,0.0,0.0,0.0,1.0000000000000002,0.0,1
PA133787052,VKORC1,Gene,PA443635,Cardiovascular Diseases,Disease,VariantAnnotation,associated,0,23990957;29568565;29577257,Gene - Disease,0.0,0.0,0.0,1.0000000000000002,0.0,1
PA133787052,VKORC1,Gene,PA443842,Death,Disease,VariantAnnotation,associated,0,29577257,Gene - Disease,0.0,0.0,0.0,1.0000000000000002,0.0,1
PA133787052,VKORC1,Gene,PA444368,Heart Diseases,Disease,VariantAnnotation,associated,0,21273734;24330000;27453700,Gene - Disease,0.0,0.0,0.0,1.0000000000000002,0.0,1
PA133787052,VKORC1,Gene,PA444370,Heart Failure,Disease,VariantAnnotation,associated,0,31902949,Gene - Disease,0.5000000000000001,0.5000000000000001,0.0,1.0000000000000002,0.5000000000000001,1
PA133787052,VKORC1,Gene,PA444417,Hemorrhage,Disease,"ClinicalAnnotation,MultilinkAnnotation,VariantAnnotation,VipGene",ambiguous,1,16201835;18574025;18690342;18950464;19297219;21057703;21148049;22571356;22592842;23016521;23104259;23113310;23423913;23602689;23774101;23932037;24474498;24503627;24602049;24919870;25001883;25244877;25521356;25769357;25858232;26445138;26777610;27262824;27488176;27581200;28033245;28689179;29432897;29479633;29577257;31186542;35608144,Gene - Disease,0.5000000000000001,0.5000000000000001,0.0,1.0000000000000002,0.5000000000000001,5
PA133787052,VKORC1,Gene,PA444418,Gastrointestinal Hemorrhage,Disease,VariantAnnotation,ambiguous,0,18950464;29577257;36942299,Gene - Disease,0.0,0.0,0.0,1.0000000000000002,0.0,1
PA133787052,VKORC1,Gene,PA444555,"Hypertension, Pulmonary",Disease,VariantAnnotation,associated,0,28550460,Gene - Disease,0.0,0.0,0.0,1.0000000000000002,0.0,1
PA133787052,VKORC1,Gene,PA445018,Cardiomyopathies,Disease,VariantAnnotation,associated,0,27938396,Gene - Disease,0.0,0.0,0.0,1.0000000000000002,0.0,1
PA133787052,VKORC1,Gene,PA445019,Myocardial Infarction,Disease,VariantAnnotation,associated,0,21127708,Gene - Disease,0.0,0.0,0.0,1.0000000000000002,0.0,1
PA133787052,VKORC1,Gene,PA445465,Pulmonary Embolism,Disease,VariantAnnotation,ambiguous,0,27938396;28550460;28685643;29986700;31854268,Gene - Disease,0.0,0.5000000000000001,0.0,1.0000000000000002,0.0,1
PA133787052,VKORC1,Gene,PA445848,Thromboembolism,Disease,"ClinicalAnnotation,VariantAnnotation",associated,1,21883387;22528326,Gene - Disease,0.0,0.5000000000000001,0.0,1.0000000000000002,0.0,3
PA133787052,VKORC1,Gene,PA445862,Thyrotoxicosis,Disease,VariantAnnotation,associated,0,25246753,Gene - Disease,0.0,0.0,0.0,1.0000000000000002,0.0,1
PA133787052,VKORC1,Gene,PA446737,"Ventricular Dysfunction, Left",Disease,VariantAnnotation,associated,0,29781049,Gene - Disease,0.0,0.0,0.0,1.0000000000000002,0.0,1
PA133787052,VKORC1,Gene,PA446969,Venous Thrombosis,Disease,VariantAnnotation,associated,0,27938396;28550460;29479633;29986700;31854268,Gene - Disease,0.0,0.0,0.0,1.0000000000000002,0.0,1
PA133787052,VKORC1,Gene,PA447054,Stroke,Disease,VariantAnnotation,ambiguous,0,25989350;26996562;28033245;29273767;29986700,Gene - Disease,0.0,0.0,0.0,1.0000000000000002,0.0,1
PA133787052,VKORC1,Gene,PA447298,venous thromboembolism,Disease,VariantAnnotation,associated,0,20421126;21883387;24251363;25089947;28033245;28689179;29432897,Gene - Disease,0.0,0.5000000000000001,0.0,1.0000000000000002,0.0,1
PA31459,NCAM1,Gene,PA447321,"Depressive Disorder, Major",Disease,"ClinicalAnnotation,VariantAnnotation",associated,1,28696415,Gene - Disease,0.0,0.5000000000000001,0.0,1.0000000000000002,0.0,3
PA29920,IRF6,Gene,PA166119041,drug-induced liver injury,Disease,"ClinicalAnnotation,VariantAnnotation",associated,1,30013178,Gene - Disease,0.0,1.0000000000000002,0.0,1.0000000000000002,0.0,3
PA29920,IRF6,Gene,PA444987,Multiple Sclerosis,Disease,"ClinicalAnnotation,VariantAnnotation",associated,1,30013178,Gene - Disease,0.0,1.0000000000000002,0.0,1.0000000000000002,0.0,3
PA166129534,time above therapeutic range,Disease,PA126,CYP2C9,Gene,VariantAnnotation,associated,0,26469104;28689179,Gene - Disease,0.0,0.0,0.0,1.0000000000000002,0.0,1
PA166129534,time above therapeutic range,Disease,PA27121,CYP4F2,Gene,VariantAnnotation,not associated,0,26877068,Gene - Disease,0.0,0.0,0.0,1.0000000000000002,0.0,1
PA166129534,time above therapeutic range,Disease,PA27829,EPHX1,Gene,VariantAnnotation,associated,0,21057703,Gene - Disease,0.0,0.0,0.0,1.0000000000000002,0.0,1
PA446443,"Liver Failure, Acute",Disease,PA131,CYP3A5,Gene,VariantAnnotation,associated,0,24104197,Gene - Disease,0.0,0.0,0.0,1.0000000000000002,0.0,1
PA446443,"Liver Failure, Acute",Disease,PA26221,CD44,Gene,VariantAnnotation,associated,0,24104197,Gene - Disease,0.0,0.5000000000000001,0.0,1.0000000000000002,0.0,1
PA446443,"Liver Failure, Acute",Disease,PA37173,UGT1A,Gene,"ClinicalAnnotation,VariantAnnotation",associated,1,23408116;24104197,Gene - Disease,0.0,0.5000000000000001,0.0,1.0000000000000002,0.0,3
PA446443,"Liver Failure, Acute",Disease,PA419,UGT1A9,Gene,"ClinicalAnnotation,VariantAnnotation",associated,1,23408116;24104197,Gene - Disease,0.0,0.5000000000000001,0.0,1.0000000000000002,0.0,3
PA36577,TMPRSS2,Gene,PA166197121,COVID-19,Disease,VariantAnnotation,ambiguous,0,33968142,Gene - Disease,0.0,0.5000000000000001,0.0,1.0000000000000002,0.0,1
PA36577,TMPRSS2,Gene,PA445425,Prostatic Neoplasms,Disease,MultilinkAnnotation,associated,0,32343194,Gene - Disease,0.5000000000000001,0.0,0.0,0.5000000000000001,0.0,1
